,count,mean,std,min,25%,50%,75%,max
HSS_Continuous,14643.0,0.34919982244075665,0.8709931414226966,0.0,0.0,0.0,0.312,10.0
Log_RCR,14643.0,0.37237084603225046,0.5782684007451977,0.0,0.0361080532768082,0.1515026269674392,0.4600917405487341,7.058406608946082
Hit_Rate_10_year_cat,14643.0,0.14156935054292152,0.3486198064547819,0.0,0.0,0.0,0.0,1.0
log_team_size,14643.0,1.5743384441917128,0.40114781879368694,0.6931471805599453,1.3862943611198906,1.6094379124341005,1.791759469228055,4.61512051684126
log_prior_knowledge,14643.0,4.1033046903140225,1.2792012387847613,0.6931471805599453,3.258096538021482,4.23410650459726,5.068904202220232,7.739359202689098
reference_topic_coverage,14643.0,0.8808562992827782,0.08856304069892819,0.3333333333333333,0.8265753424657534,0.8909090909090909,0.9473684210526315,1.0
reference_field_diversity,14643.0,2.6896127842655195,1.6665041375480831,1.0,1.0,2.0,4.0,22.0
reference_entropy,14643.0,0.4060281465107681,0.3991000879572173,0.0,0.0,0.291139838831965,0.6721714336754311,2.013822926703922
hss_reference_share,14643.0,0.03378312892919622,0.09499468838002202,0.0,0.0,0.0,0.027027027027027,1.0
cs_core_reference_share,14643.0,0.8009870203138777,0.26340619408342847,0.0,0.7142857142857143,0.9230769230769232,1.0,1.0
