model_name,outcome,moderator,label,hypothesis,estimate,std_err,stat,p_value,ci_low,ci_high,nobs,moderator_p25,moderator_p50,moderator_p75
M35_Hit10YearCat_RefEntropy_Moderation,Hit_Rate_10_year_cat,reference_entropy,Slope_at_Moderator_0,HSS_Continuous = 0,-0.0014821033188338333,0.0062752324362244025,-0.23618301535386077,0.8132906585245729,-0.013781332888451204,0.010817126250783538,14643.0,0.0,0.291139838831965,0.6721714336754311
M35_Hit10YearCat_RefEntropy_Moderation,Hit_Rate_10_year_cat,reference_entropy,Slope_at_25th_percentile,HSS_Continuous + (0.0)*HSS_Continuous:reference_entropy = 0,-0.0014821033188338333,0.0062752324362244025,-0.23618301535386077,0.8132906585245729,-0.013781332888451204,0.010817126250783538,14643.0,0.0,0.291139838831965,0.6721714336754311
M35_Hit10YearCat_RefEntropy_Moderation,Hit_Rate_10_year_cat,reference_entropy,Slope_at_50th_percentile,HSS_Continuous + (0.291139838831965)*HSS_Continuous:reference_entropy = 0,-0.00068613107131436,0.00466656349421274,-0.1470313373353365,0.8831072854983317,-0.00983242745154072,0.008460165308911999,14643.0,0.0,0.291139838831965,0.6721714336754311
M35_Hit10YearCat_RefEntropy_Moderation,Hit_Rate_10_year_cat,reference_entropy,Slope_at_75th_percentile,HSS_Continuous + (0.6721714336754311)*HSS_Continuous:reference_entropy = 0,0.0003556039799251613,0.003652216336230172,0.09736662540976879,0.9224352478305786,-0.006802608502834804,0.007513816462685127,14643.0,0.0,0.291139838831965,0.6721714336754311
