author_ids,T0_year,paper_count
https://openalex.org/A5004160420,2015,6
https://openalex.org/A5007556794,2015,6
https://openalex.org/A5020404017,2015,6
https://openalex.org/A5035914396,2015,6
https://openalex.org/A5044550553,2015,6
https://openalex.org/A5050113685,2015,6
https://openalex.org/A5065912572,2015,6
https://openalex.org/A5067370075,2015,6
https://openalex.org/A5069654424,2015,6
https://openalex.org/A5070642269,2015,6
https://openalex.org/A5077460655,2015,6
https://openalex.org/A5080106147,2015,6
https://openalex.org/A5080499022,2015,6
https://openalex.org/A5083212922,2015,6
https://openalex.org/A5107838719,2015,6
https://openalex.org/A5114910293,2015,6
https://openalex.org/A5005771535,2016,6
https://openalex.org/A5059729571,2016,6
https://openalex.org/A5074210163,2016,6
https://openalex.org/A5100430087,2016,6
https://openalex.org/A5111885963,2016,6
https://openalex.org/A5000026575,2014,5
https://openalex.org/A5000291599,2014,5
https://openalex.org/A5002078510,2014,5
https://openalex.org/A5004625775,2014,5
https://openalex.org/A5005646847,2014,5
https://openalex.org/A5006380227,2014,5
https://openalex.org/A5008309880,2014,5
https://openalex.org/A5010465328,2014,5
https://openalex.org/A5012765543,2014,5
https://openalex.org/A5016033078,2014,5
https://openalex.org/A5023274785,2014,5
https://openalex.org/A5023574545,2014,5
https://openalex.org/A5028958018,2014,5
https://openalex.org/A5031224672,2014,5
https://openalex.org/A5034476404,2014,5
https://openalex.org/A5036368461,2014,5
https://openalex.org/A5036548485,2014,5
https://openalex.org/A5037869012,2014,5
https://openalex.org/A5040795718,2014,5
https://openalex.org/A5040821130,2014,5
https://openalex.org/A5041213674,2014,5
https://openalex.org/A5047964483,2014,5
https://openalex.org/A5049327409,2014,5
https://openalex.org/A5052551454,2014,5
https://openalex.org/A5052801957,2014,5
https://openalex.org/A5053036981,2014,5
https://openalex.org/A5058789403,2014,5
https://openalex.org/A5059508147,2014,5
https://openalex.org/A5068085751,2014,5
https://openalex.org/A5070166057,2014,5
https://openalex.org/A5072573916,2014,5
https://openalex.org/A5074429265,2014,5
https://openalex.org/A5077137254,2014,5
https://openalex.org/A5077333494,2014,5
https://openalex.org/A5079139411,2014,5
https://openalex.org/A5079482662,2014,5
https://openalex.org/A5081945174,2014,5
https://openalex.org/A5083524237,2014,5
https://openalex.org/A5085748370,2014,5
https://openalex.org/A5089960673,2014,5
https://openalex.org/A5100375136,2014,5
https://openalex.org/A5100418319,2014,5
https://openalex.org/A5100673818,2014,5
https://openalex.org/A5100704268,2014,5
https://openalex.org/A5100761525,2014,5
https://openalex.org/A5100778603,2014,5
https://openalex.org/A5101651291,2014,5
https://openalex.org/A5102785655,2014,5
https://openalex.org/A5102981113,2014,5
https://openalex.org/A5109000029,2014,5
https://openalex.org/A5109848927,2014,5
https://openalex.org/A5112569280,2014,5
https://openalex.org/A5113871902,2014,5
https://openalex.org/A5001371942,2015,5
https://openalex.org/A5003275797,2015,5
https://openalex.org/A5003992022,2015,5
https://openalex.org/A5007769527,2015,5
https://openalex.org/A5009547049,2015,5
https://openalex.org/A5010087030,2015,5
https://openalex.org/A5010851725,2015,5
https://openalex.org/A5013695358,2015,5
https://openalex.org/A5020719193,2015,5
https://openalex.org/A5021827617,2015,5
https://openalex.org/A5024821632,2015,5
https://openalex.org/A5024849044,2015,5
https://openalex.org/A5025689655,2015,5
https://openalex.org/A5026240645,2015,5
https://openalex.org/A5026322200,2015,5
https://openalex.org/A5029480918,2015,5
https://openalex.org/A5035112538,2015,5
https://openalex.org/A5035416263,2015,5
https://openalex.org/A5041145688,2015,5
https://openalex.org/A5042507268,2015,5
https://openalex.org/A5052854215,2015,5
https://openalex.org/A5056639842,2015,5
https://openalex.org/A5057980326,2015,5
https://openalex.org/A5062807220,2015,5
https://openalex.org/A5066924496,2015,5
https://openalex.org/A5073187608,2015,5
https://openalex.org/A5075885606,2015,5
https://openalex.org/A5081741492,2015,5
https://openalex.org/A5081819708,2015,5
https://openalex.org/A5082274996,2015,5
https://openalex.org/A5082498217,2015,5
https://openalex.org/A5084332360,2015,5
https://openalex.org/A5085497926,2015,5
https://openalex.org/A5086000078,2015,5
https://openalex.org/A5087204274,2015,5
https://openalex.org/A5087263986,2015,5
https://openalex.org/A5088180679,2015,5
https://openalex.org/A5100447691,2015,5
https://openalex.org/A5100455112,2015,5
https://openalex.org/A5100455135,2015,5
https://openalex.org/A5100621605,2015,5
https://openalex.org/A5100674551,2015,5
https://openalex.org/A5100677198,2015,5
https://openalex.org/A5100757829,2015,5
https://openalex.org/A5101588658,2015,5
https://openalex.org/A5103153703,2015,5
https://openalex.org/A5110323764,2015,5
https://openalex.org/A5113166350,2015,5
https://openalex.org/A5004224082,2016,5
