label,count,share
Pure STEM,69567,0.501098473661843
Low HSS,54706,0.39405311570349133
Medium HSS,10125,0.07293144804039502
High HSS,2745,0.01977252591317376
HSS-dominant,1681,0.012108421151200397
<NA>,5,3.6015529896491364e-05
