author_id,active_phases,phases_count,total_papers_12y,avg_team_size_P1,avg_team_size_P2,avg_team_size_P3
https://openalex.org/A5006294869,Phase1 | Phase2 | Phase3,3,147,4.0,5.328571428571428,7.315789473684211
https://openalex.org/A5101488344,Phase1 | Phase2 | Phase3,3,147,5.0,7.277777777777778,10.50909090909091
https://openalex.org/A5043060302,Phase1 | Phase2 | Phase3,3,146,4.0,4.696969696969697,6.232142857142857
https://openalex.org/A5110579339,Phase1 | Phase2 | Phase3,3,146,5.125,5.415094339622642,8.470588235294118
https://openalex.org/A5020025718,Phase1 | Phase2 | Phase3,3,145,7.0,6.6415094339622645,9.945945945945946
https://openalex.org/A5100668696,Phase1 | Phase2 | Phase3,3,144,6.0,5.9375,7.5256410256410255
https://openalex.org/A5004882141,Phase1 | Phase2 | Phase3,3,144,7.0,6.9772727272727275,7.285714285714286
https://openalex.org/A5029105520,Phase1 | Phase2 | Phase3,3,142,5.4,5.214285714285714,7.348623853211009
https://openalex.org/A5075825791,Phase1 | Phase2 | Phase3,3,141,4.0,5.828571428571428,5.542857142857143
https://openalex.org/A5091179481,Phase1 | Phase2 | Phase3,3,140,2.0,6.122448979591836,7.797752808988764
https://openalex.org/A5082634513,Phase1 | Phase2 | Phase3,3,138,3.5,5.848484848484849,6.4324324324324325
https://openalex.org/A5025255782,Phase1 | Phase2 | Phase3,3,137,2.0,4.107142857142857,10.383177570093459
https://openalex.org/A5100345321,Phase1 | Phase2 | Phase3,3,136,5.0,5.2272727272727275,5.6371681415929205
https://openalex.org/A5049100391,Phase1 | Phase2 | Phase3,3,136,5.0,4.416666666666667,6.588235294117647
https://openalex.org/A5052993469,Phase1 | Phase2 | Phase3,3,134,6.0,5.5777777777777775,7.215909090909091
https://openalex.org/A5003217535,Phase1 | Phase2 | Phase3,3,132,5.0,5.086956521739131,7.882352941176471
https://openalex.org/A5086706224,Phase1 | Phase2 | Phase3,3,132,4.333333333333333,6.516129032258065,7.928571428571429
https://openalex.org/A5019313200,Phase1 | Phase2 | Phase3,3,129,4.0,4.868421052631579,6.511111111111111
https://openalex.org/A5112749024,Phase1 | Phase2 | Phase3,3,128,5.0,4.849056603773585,5.625
https://openalex.org/A5100331488,Phase1 | Phase2 | Phase3,3,128,4.0,5.368421052631579,9.349056603773585
https://openalex.org/A5041024491,Phase1 | Phase2 | Phase3,3,123,2.0,2.830188679245283,4.333333333333333
https://openalex.org/A5101904182,Phase1 | Phase2 | Phase3,3,122,6.0,4.725,4.592592592592593
https://openalex.org/A5026048739,Phase1 | Phase2 | Phase3,3,120,14.25,19.069565217391304,16.0
