T0_year,HSS_New_Entrants,HSS_YoY_Growth_Pct,CS_YoY_Growth_Pct
2015,471,8.275862068965512,10.616113744075829
2016,506,7.430997876857748,57.326478149100254
2017,2524,398.8142292490118,533.8235294117646
2018,2939,16.44215530903328,19.89344332731804
2019,3372,14.732902347737319,36.33887614678899
2020,4272,26.690391459074725,23.152139627799386
2021,5109,19.592696629213478,29.689234184239744
2022,3969,-22.313564298297116,0.003291530891025296
2023,11434,188.08264046359287,74.6033835823843
2024,24316,112.6639846073115,66.39647112049465
2025,39753,63.48494818226682,43.110909708847856
