work_id,reference_count_total,reference_count_with_primary_topic,reference_count_missing_primary_topic,reference_field_diversity,reference_entropy,hss_reference_share,cs_core_reference_share,reference_field_counts_json,processed_at_utc
W2560169576,14,12,2,3,0.566085738959628,0.0,0.833333333333333,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 10, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.699623
W2735970878,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W2742479045,45,38,7,2,0.12169240267806102,0.0,0.973684210526315,"{""Computer Science"": 37, ""Engineering"": 1}",2026-06-09T20:07:35.699623
W2564929713,21,18,3,1,0.0,0.0,1.0,"{""Computer Science"": 18}",2026-06-09T20:07:35.699623
W2476099471,14,11,3,1,0.0,0.0,1.0,"{""Computer Science"": 11}",2026-06-09T20:07:35.699623
W1666690886,38,36,2,1,0.0,0.0,1.0,"{""Computer Science"": 36}",2026-06-09T20:07:35.699623
W2963684088,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W2557088662,14,12,2,1,0.0,0.0,1.0,"{""Computer Science"": 12}",2026-06-09T20:07:35.699623
W4301968192,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W2412320034,31,29,2,2,0.149994923610415,0.0,0.96551724137931,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 28}",2026-06-09T20:07:35.699623
W2549108983,19,17,2,1,0.0,0.0,1.0,"{""Computer Science"": 17}",2026-06-09T20:07:35.699623
W2951722763,32,29,3,3,0.29875805818934004,0.0,0.9310344827586201,"{""Computer Science"": 27, ""Engineering"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:35.699623
W2952139859,22,21,1,3,0.380506218477595,0.047619047619047006,0.9047619047619041,"{""Arts and Humanities"": 1, ""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 19}",2026-06-09T20:07:35.699623
W2951745349,28,25,3,3,0.44330669146808704,0.0,0.88,"{""Biochemistry, Genetics and Molecular Biology"": 2, ""Computer Science"": 22, ""Neuroscience"": 1}",2026-06-09T20:07:35.699623
W4298201114,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W2215576850,34,33,1,5,1.001244663346049,0.060606060606060004,0.696969696969697,"{""Arts and Humanities"": 2, ""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 23, ""Engineering"": 4, ""Mathematics"": 3}",2026-06-09T20:07:35.699623
W2554713816,11,10,1,1,0.0,0.0,1.0,"{""Computer Science"": 10}",2026-06-09T20:07:35.699623
W2338185250,16,16,0,3,0.7774621319109281,0.0625,0.6875,"{""Computer Science"": 11, ""Economics, Econometrics and Finance"": 1, ""Mathematics"": 4}",2026-06-09T20:07:35.699623
W2952171659,44,41,3,1,0.0,0.0,1.0,"{""Computer Science"": 41}",2026-06-09T20:07:35.699623
W2202109488,21,21,0,2,0.191444081957717,0.0,0.9523809523809521,"{""Computer Science"": 20, ""Neuroscience"": 1}",2026-06-09T20:07:35.699623
W2559110679,9,8,1,1,0.0,0.0,1.0,"{""Computer Science"": 8}",2026-06-09T20:07:35.699623
W2415784353,20,20,0,3,1.039720770839917,0.0,0.25,"{""Computer Science"": 5, ""Engineering"": 5, ""Neuroscience"": 10}",2026-06-09T20:07:35.699623
W4294620478,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W2563131459,24,24,0,5,1.201470654472912,0.0,0.416666666666666,"{""Biochemistry, Genetics and Molecular Biology"": 10, ""Computer Science"": 10, ""Mathematics"": 1, ""Medicine"": 2, ""Neuroscience"": 1}",2026-06-09T20:07:35.699623
W2558737541,0,0,0,0,,,,{},2026-06-09T20:07:35.699623
W1531388653,50,47,3,5,0.680385242455356,0.02127659574468,0.8085106382978721,"{""Computer Science"": 38, ""Decision Sciences"": 1, ""Health Professions"": 1, ""Mathematics"": 6, ""Neuroscience"": 1}",2026-06-09T20:07:35.700643
W2950447478,6,6,0,2,0.450561208866304,0.0,0.833333333333333,"{""Computer Science"": 5, ""Mathematics"": 1}",2026-06-09T20:07:35.700643
W2174037025,13,12,1,1,0.0,0.0,1.0,"{""Computer Science"": 12}",2026-06-09T20:07:35.700643
W1487641199,48,45,3,5,0.630875705398611,0.044444444444444,0.8444444444444441,"{""Computer Science"": 38, ""Decision Sciences"": 1, ""Mathematics"": 3, ""Neuroscience"": 2, ""Social Sciences"": 1}",2026-06-09T20:07:35.700643
W1574502566,19,17,2,3,0.44375728426014804,0.0,0.8823529411764701,"{""Computer Science"": 15, ""Mathematics"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.700643
W2308640704,22,21,1,5,0.953256252840685,0.0,0.7142857142857141,"{""Computer Science"": 15, ""Engineering"": 1, ""Mathematics"": 1, ""Neuroscience"": 3, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.700643
W2951789542,40,36,4,3,0.253067331874179,0.0,0.9444444444444441,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 34, ""Environmental Science"": 1}",2026-06-09T20:07:35.700643
W2419501139,29,25,4,5,0.766838231580212,0.0,0.8,"{""Computer Science"": 20, ""Earth and Planetary Sciences"": 1, ""Engineering"": 1, ""Mathematics"": 2, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.700643
W2432004435,0,0,0,0,,,,{},2026-06-09T20:07:35.700643
W2952390294,27,26,1,3,0.32450838693107004,0.0,0.923076923076923,"{""Computer Science"": 24, ""Engineering"": 1, ""Mathematics"": 1}",2026-06-09T20:07:35.700643
W3038022805,13,13,0,1,0.0,0.0,1.0,"{""Computer Science"": 13}",2026-06-09T20:07:35.700643
W2747490792,19,14,5,2,0.257318640543831,0.0,0.928571428571428,"{""Computer Science"": 13, ""Engineering"": 1}",2026-06-09T20:07:35.700643
W1565066160,45,44,1,7,1.650678195587298,0.045454545454545005,0.22727272727272702,"{""Business, Management and Accounting"": 1, ""Computer Science"": 10, ""Decision Sciences"": 1, ""Earth and Planetary Sciences"": 4, ""Engineering"": 8, ""Medicine"": 5, ""Physics and Astronomy"": 15}",2026-06-09T20:07:35.700643
W2949099979,34,31,3,4,0.518700438574282,0.0,0.8709677419354831,"{""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 27, ""Engineering"": 2, ""Neuroscience"": 1}",2026-06-09T20:07:35.700643
W2129069237,45,41,4,8,1.1740231747697711,0.048780487804878,0.6829268292682921,"{""Biochemistry, Genetics and Molecular Biology"": 2, ""Computer Science"": 28, ""Earth and Planetary Sciences"": 1, ""Economics, Econometrics and Finance"": 2, ""Engineering"": 1, ""Mathematics"": 1, ""Neuroscience"": 1, ""Physics and Astronomy"": 5}",2026-06-09T20:07:35.700643
W834081922,35,33,2,6,0.9160825054413511,0.030303030303030002,0.757575757575757,"{""Arts and Humanities"": 1, ""Biochemistry, Genetics and Molecular Biology"": 1, ""Computer Science"": 25, ""Engineering"": 2, ""Neuroscience"": 3, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.700643
W2483814582,15,14,1,4,0.89533266596809,0.0,0.7142857142857141,"{""Computer Science"": 10, ""Engineering"": 2, ""Mathematics"": 1, ""Neuroscience"": 1}",2026-06-09T20:07:35.700643
W2552611751,12,9,3,1,0.0,0.0,1.0,"{""Computer Science"": 9}",2026-06-09T20:07:35.700643
W2431962807,33,29,4,4,0.44624376141549005,0.034482758620689,0.896551724137931,"{""Computer Science"": 26, ""Decision Sciences"": 1, ""Mathematics"": 1, ""Physics and Astronomy"": 1}",2026-06-09T20:07:35.700643
W2557665295,8,7,1,1,0.0,0.0,1.0,"{""Computer Science"": 7}",2026-06-09T20:07:35.700643
W2951996801,53,48,5,1,0.0,0.0,1.0,"{""Computer Science"": 48}",2026-06-09T20:07:35.700643
