type,n,share_rows_with_any_openalex_metrics,share_has_openalex_references,share_usable_for_count_analysis,share_usable_for_composition_analysis,mean_openalex_matched_reference_count,median_openalex_matched_reference_count,mean_openalex_topic_resolved_reference_count,mean_openalex_reference_field_diversity,mean_openalex_reference_entropy,mean_hss_share_among_matched_refs,mean_cs_share_among_matched_refs
Type 0 (Pure CS),114893,0.3968039828362041,0.2127001535424435,0.3968039828362041,0.08236359047113401,7.012809826716385,0.0,6.118249616143891,2.4822994821938074,0.3409642246881134,0.035693583913462036,0.8513882958385459
Type 1 (Engineering),17904,0.4830205540661305,0.495259019426457,0.4830205540661305,0.2317917783735478,15.267460684551342,0.0,13.397895467160037,3.017831325301205,0.4919448407196313,0.025057440673583693,0.7572451581386679
Type 2 (Science),5256,0.3970700152207002,0.3042644944896981,0.3970700152207002,0.11187214611872145,10.877335888835649,0.0,9.993770963104936,4.537414965986395,0.9532941103922209,0.02721699552336265,0.36819575133370314
Type 3 (HSS),776,0.4832474226804124,0.10666666666666667,0.4832474226804124,0.045103092783505154,3.24,0.0,2.8986666666666667,4.685714285714286,1.0687904281193694,0.5097904811624158,0.3433043869407296
