work_id,year,arxiv_type,status_std,has_any_openalex_metrics,has_openalex_references,usable_for_count_analysis,composition_metrics_eligible,usable_for_composition_analysis,openalex_matched_reference_count,log1p_openalex_matched_reference_count,openalex_topic_resolved_reference_count,openalex_topic_missing_reference_count,openalex_reference_field_diversity_raw,openalex_reference_entropy_raw,hss_share_among_matched_refs_raw,cs_share_among_matched_refs_raw,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs,flag_blank_status,flag_status_inferred,flag_not_enriched,flag_no_openalex_references,flag_ok_count_only,flag_ok_for_composition,flag_count_missing,flag_count_zero,flag_count_positive,flag_zero_but_raw_composition_not_missing,flag_positive_count_but_no_topic_resolved,flag_topic_resolved_gt_total,flag_topic_missing_gt_total
W2979464033,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,44.0,3.8066624897703196,38.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3093977588,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,25.0,3.258096538021482,19.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3131343002,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,24.0,3.2188758248682006,20.0,4.0,3.0,0.394397691447442,0.0,0.9,3.0,0.394397691447442,0.0,0.9,0,1,0,0,0,1,0,0,1,0,0,0,0
W2969869553,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,78.0,4.3694478524670215,68.0,10.0,4.0,0.229284579540571,0.0,0.955882352941176,4.0,0.229284579540571,0.0,0.955882352941176,0,1,0,0,0,1,0,0,1,0,0,0,0
W3151599417,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,42.0,3.7612001156935624,37.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3005895185,2020,Type 1 (Engineering),OK_FOR_COMPOSITION,1,1.0,1,1,1,24.0,3.2188758248682006,18.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3114595500,2020,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,44.0,3.8066624897703196,35.0,9.0,3.0,0.258640932106732,0.057142857142857,0.942857142857142,3.0,0.258640932106732,0.057142857142857,0.942857142857142,0,1,0,0,0,1,0,0,1,0,0,0,0
W2972969579,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,66.0,4.204692619390966,57.0,9.0,5.0,0.414086921740618,0.052631578947368,0.912280701754385,5.0,0.414086921740618,0.052631578947368,0.912280701754385,0,1,0,0,0,1,0,0,1,0,0,0,0
W3167991370,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,60.0,4.110873864173311,51.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W2947912915,2019,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,25.0,3.258096538021482,25.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,1,0,0,0,0
W3191200321,2021,Type 0 (Pure CS),OK_FOR_COMPOSITION,1,1.0,1,1,1,34.0,3.5553480614894135,30.0,4.0,3.0,0.291139838831965,0.033333333333333,0.9333333333333332,3.0,0.291139838831965,0.033333333333333,0.9333333333333332,0,1,0,0,0,1,0,0,1,0,0,0,0
