subfield_id,subfield_name,field_id,field_name,domain_id,domain_name
3500,General Dentistry,35,Dentistry,4,Health Sciences
3504,Oral Surgery,35,Dentistry,4,Health Sciences
3505,Orthodontics,35,Dentistry,4,Health Sciences
3506,Periodontics,35,Dentistry,4,Health Sciences
3603,Complementary and Manual Therapy,36,Health Professions,4,Health Sciences
3604,Emergency Medical Services,36,Health Professions,4,Health Sciences
3600,General Health Professions,36,Health Professions,4,Health Sciences
3605,Health Information Management,36,Health Professions,4,Health Sciences
3607,Medical Laboratory Technology,36,Health Professions,4,Health Sciences
3608,Medical Terminology,36,Health Professions,4,Health Sciences
3609,Occupational Therapy,36,Health Professions,4,Health Sciences
3611,Pharmacy,36,Health Professions,4,Health Sciences
3612,"Physical Therapy, Sports Therapy and Rehabilitation",36,Health Professions,4,Health Sciences
3614,Radiological and Ultrasound Technology,36,Health Professions,4,Health Sciences
3616,Speech and Hearing,36,Health Professions,4,Health Sciences
2702,Anatomy,27,Medicine,4,Health Sciences
2703,Anesthesiology and Pain Medicine,27,Medicine,4,Health Sciences
2704,Biochemistry,27,Medicine,4,Health Sciences
2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences
2707,Complementary and alternative medicine,27,Medicine,4,Health Sciences
2706,Critical Care and Intensive Care Medicine,27,Medicine,4,Health Sciences
2708,Dermatology,27,Medicine,4,Health Sciences
2711,Emergency Medicine,27,Medicine,4,Health Sciences
2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences
2713,Epidemiology,27,Medicine,4,Health Sciences
2714,Family Practice,27,Medicine,4,Health Sciences
2715,Gastroenterology,27,Medicine,4,Health Sciences
2716,Genetics,27,Medicine,4,Health Sciences
2717,Geriatrics and Gerontology,27,Medicine,4,Health Sciences
2718,Health Informatics,27,Medicine,4,Health Sciences
2720,Hematology,27,Medicine,4,Health Sciences
2721,Hepatology,27,Medicine,4,Health Sciences
2723,Immunology and Allergy,27,Medicine,4,Health Sciences
2725,Infectious Diseases,27,Medicine,4,Health Sciences
2724,Internal Medicine,27,Medicine,4,Health Sciences
2726,Microbiology,27,Medicine,4,Health Sciences
2727,Nephrology,27,Medicine,4,Health Sciences
2728,Neurology,27,Medicine,4,Health Sciences
2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences
2730,Oncology,27,Medicine,4,Health Sciences
2731,Ophthalmology,27,Medicine,4,Health Sciences
2732,Orthopedics and Sports Medicine,27,Medicine,4,Health Sciences
2733,Otorhinolaryngology,27,Medicine,4,Health Sciences
2734,Pathology and Forensic Medicine,27,Medicine,4,Health Sciences
2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences
2736,Pharmacology,27,Medicine,4,Health Sciences
2737,Physiology,27,Medicine,4,Health Sciences
2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences
2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences
2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences
2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences
2742,Rehabilitation,27,Medicine,4,Health Sciences
2743,Reproductive Medicine,27,Medicine,4,Health Sciences
2745,Rheumatology,27,Medicine,4,Health Sciences
2746,Surgery,27,Medicine,4,Health Sciences
2747,Transplantation,27,Medicine,4,Health Sciences
2748,Urology,27,Medicine,4,Health Sciences
2910,"Issues, ethics and legal aspects",29,Nursing,4,Health Sciences
2911,Leadership and Management,29,Nursing,4,Health Sciences
2916,Nutrition and Dietetics,29,Nursing,4,Health Sciences
2922,Research and Theory,29,Nursing,4,Health Sciences
