author_id,T0_year,paper_count
https://openalex.org/A5000327098,2017,1
https://openalex.org/A5000327234,2017,1
https://openalex.org/A5000328526,2017,3
https://openalex.org/A5000328650,2017,2
https://openalex.org/A5000332798,2017,1
https://openalex.org/A5000337879,2017,6
https://openalex.org/A5000341704,2017,3
https://openalex.org/A5000347426,2017,2
https://openalex.org/A5000354294,2017,2
https://openalex.org/A5000355345,2017,1
https://openalex.org/A5000355462,2017,1
https://openalex.org/A5000359035,2017,8
https://openalex.org/A5000359073,2017,1
https://openalex.org/A5000362717,2017,1
https://openalex.org/A5000364308,2017,2
https://openalex.org/A5000366883,2017,2
https://openalex.org/A5000367689,2017,4
https://openalex.org/A5000369174,2017,1
https://openalex.org/A5000376251,2017,1
https://openalex.org/A5000377094,2017,2
https://openalex.org/A5000377588,2017,1
https://openalex.org/A5000381358,2017,1
https://openalex.org/A5000382679,2017,2
https://openalex.org/A5000382775,2017,1
https://openalex.org/A5000384109,2017,3
https://openalex.org/A5000388383,2017,5
https://openalex.org/A5000388750,2017,2
https://openalex.org/A5000389309,2017,12
https://openalex.org/A5000390626,2017,2
https://openalex.org/A5000392679,2017,1
https://openalex.org/A5000405202,2017,10
https://openalex.org/A5000406621,2017,1
https://openalex.org/A5000407147,2017,2
https://openalex.org/A5000408872,2017,1
https://openalex.org/A5000409111,2017,1
https://openalex.org/A5000409285,2017,2
https://openalex.org/A5000409439,2017,22
https://openalex.org/A5000410123,2017,1
https://openalex.org/A5000410178,2017,4
https://openalex.org/A5000413698,2017,8
https://openalex.org/A5000416077,2017,1
https://openalex.org/A5000419137,2017,1
https://openalex.org/A5000419170,2017,3
https://openalex.org/A5000419192,2017,1
https://openalex.org/A5000424567,2017,2
https://openalex.org/A5000428355,2017,2
https://openalex.org/A5000430154,2017,2
https://openalex.org/A5000432903,2017,1
https://openalex.org/A5000433043,2017,2
https://openalex.org/A5000443130,2017,1
https://openalex.org/A5000443180,2017,2
https://openalex.org/A5000444697,2017,1
https://openalex.org/A5000446617,2017,1
https://openalex.org/A5000447730,2017,2
https://openalex.org/A5000448730,2017,1
https://openalex.org/A5000454484,2017,3
https://openalex.org/A5000459401,2017,5
https://openalex.org/A5000460800,2017,1
https://openalex.org/A5000464976,2017,5
https://openalex.org/A5000470166,2017,18
https://openalex.org/A5000472988,2017,1
https://openalex.org/A5000480706,2017,1
https://openalex.org/A5000481340,2017,1
https://openalex.org/A5000482262,2017,5
https://openalex.org/A5000489998,2017,1
https://openalex.org/A5000491999,2017,1
https://openalex.org/A5000496097,2017,2
https://openalex.org/A5000496381,2017,1
https://openalex.org/A5000498127,2017,1
https://openalex.org/A5000498790,2017,1
https://openalex.org/A5000502403,2017,2
https://openalex.org/A5000504065,2017,1
https://openalex.org/A5000510254,2017,1
https://openalex.org/A5000511831,2017,1
https://openalex.org/A5000516922,2017,17
https://openalex.org/A5000520484,2017,2
https://openalex.org/A5000521956,2017,1
https://openalex.org/A5000527066,2017,1
https://openalex.org/A5000527265,2017,2
https://openalex.org/A5000531349,2017,1
https://openalex.org/A5000531397,2017,2
https://openalex.org/A5000532286,2017,1
https://openalex.org/A5000535558,2017,2
https://openalex.org/A5000539710,2017,3
https://openalex.org/A5000543980,2017,3
https://openalex.org/A5000545563,2017,1
https://openalex.org/A5000545627,2017,1
https://openalex.org/A5000546972,2017,1
https://openalex.org/A5000555372,2017,4
https://openalex.org/A5000557257,2017,4
https://openalex.org/A5000560568,2017,9
https://openalex.org/A5000560911,2017,1
https://openalex.org/A5000566520,2017,4
https://openalex.org/A5000568994,2017,1
https://openalex.org/A5000570193,2017,2
https://openalex.org/A5000570624,2017,1
https://openalex.org/A5000570675,2017,1
