,count,mean,std,min,25%,50%,75%,max
team_hss_dna_pct,138824.0,6.825023699072207,12.808590137910468,0.0,0.0,0.0,8.07,100.0
HSS_Continuous,138824.0,0.6825023699072206,1.2808590137910465,0.0,0.0,0.0,0.807,10.0
total_authors,138824.0,5.229347951362877,4.296109668455969,1.0,3.0,5.0,6.0,100.0
log_team_size,138824.0,1.7047359394181607,0.4750198853736013,0.6931471805599453,1.3862943611198906,1.791759469228055,1.9459101490553128,4.61512051684126
Prior_Knowledge_Stock,138824.0,92.97185645133406,124.15355813909022,1.0,18.0,48.0,118.0,3370.0
log_prior_knowledge,138824.0,3.820413520648679,1.2865902759788936,0.6931471805599453,2.9444389791664403,3.8918202981106265,4.77912349311153,8.12296471523406
HSS_Diversity,138824.0,0.03867479619084907,0.08559842147035372,0.0,0.0,0.0,0.020070444441914727,0.5000500000000001
citations,138824.0,5.653546937129026,107.0410618997343,0.0,0.0,0.0,1.0,21303.0
RCR,138824.0,1.0000243000143842,18.95687763521218,0.0,0.0,0.0,0.23756446514723,4724.866064516129
Log_RCR,138824.0,0.25518963153684776,0.5692376211919339,0.0,0.0,0.0,0.2131453071521793,8.460806117209025
Citation_Field_Diversity,138737.0,1.8976841073397868,3.4698777781822616,0.0,0.0,0.0,3.0,16.0
Citation_Entropy,138737.0,0.4425738122150921,0.7138305447324025,0.0,0.0,0.0,1.0114042647073516,2.5441943607544983
NonCS_Citation_Share,138737.0,0.1944687295301979,0.2976511997518011,0.0,0.0,0.0,0.5,1.0
HSS_Citing_Share,138737.0,0.0760140310028899,0.15866093804757397,0.0,0.0,0.0,0.0,1.0
